"tv_vaccinees_endday","tv_vaccinees_00","tv_vaccinees_10","tv_vaccinees_20","tv_vaccinees_30","tv_vaccinees_40","tv_vaccinees_50","tv_vaccinees_60","tv_vaccinees_70","tv_vaccinees_80"
116,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0
354,0,0,0,9,5,5,0,0,0
361,0,0,8,15,7,16,9,0,0
368,0,20,496,922,723,852,586,75,5
375,0,43,868,1298,1098,1404,1009,144,26
382,0,48,554,564,564,799,717,314,601
389,0,148,1462,2044,2179,2913,2290,927,1214
396,0,143,1232,1586,1633,2171,1756,717,852
403,0,184,1457,1677,1753,2497,2270,1210,1453
410,0,208,1461,1473,1537,1995,2056,1575,1478
417,0,174,1249,1647,1830,2402,2461,2423,2890
424,0,155,1156,1405,1779,2400,2744,3382,3483
431,0,208,1564,2167,2376,3366,4460,6074,3792
438,0,238,1526,1950,1955,3567,15877,19110,9648
445,0,174,1080,1686,2037,3251,13862,14991,6332
452,0,446,2855,4124,5043,7614,14420,9551,2545
459,0,867,4245,5084,5869,10958,11247,3956,1307
466,0,654,2314,3053,3473,5599,8306,1042,389
473,0,1074,3457,4008,4034,7026,8345,1069,318
480,0,1788,5140,5412,5722,12672,7222,1232,407
487,0,2486,5225,5316,7022,10136,3341,868,273
494,0,6671,12851,12125,10824,9298,3523,911,358
501,0,2934,5790,5569,5338,4631,2099,652,266
508,0,2674,4100,3689,3199,3148,1634,534,213
515,0,7190,2474,2185,2014,1852,993,310,138
522,0,8514,3033,2602,2212,1939,1048,320,150
529,0,4328,2672,2330,1949,1744,850,290,112
536,0,2256,1760,1507,1324,1138,660,221,89
543,0,1694,1342,1203,938,801,441,153,61
550,0,1376,1002,930,759,707,388,116,51
557,0,1417,1021,944,751,613,361,120,43
564,0,1305,959,780,578,544,331,105,45
571,0,1144,912,671,566,537,317,112,40
578,0,1277,895,670,568,555,295,118,36
585,0,1388,1028,789,642,609,349,123,50
592,0,1576,1163,932,769,719,388,149,68
599,0,1581,1332,1189,783,805,451,163,50
606,0,1536,1166,1103,865,719,383,120,67
613,0,1485,1117,1081,739,690,318,116,60
620,0,1319,1221,1336,874,760,352,95,37
627,0,1161,1317,1423,845,717,372,93,37
634,0,952,1333,1378,898,678,333,117,46
641,0,748,859,928,594,459,276,103,62
648,0,655,823,790,543,434,262,77,58
655,0,599,684,724,491,401,220,111,51
662,0,480,591,640,389,360,237,161,128
669,0,394,564,654,359,312,198,133,85
676,0,361,525,490,339,306,215,135,64
683,0,368,546,558,364,352,247,113,86
690,630,586,434,382,282,256,183,67,41
697,5202,3022,551,503,367,351,207,81,53
704,4078,2478,535,445,349,295,205,72,47
711,1387,1042,538,420,309,285,172,80,41
718,686,616,386,334,238,209,122,48,23
725,1251,888,408,357,264,269,131,50,28
732,1357,1081,474,388,283,268,137,56,21
739,780,746,497,433,282,248,146,54,32
746,900,844,474,372,268,239,129,36,14
753,814,764,503,340,256,255,114,68,21
760,854,864,540,439,309,223,118,48,18
767,648,758,512,399,270,225,120,43,22
774,443,556,453,294,206,167,84,33,14
781,301,386,288,229,124,112,58,24,7
788,345,340,240,202,114,87,54,25,9
795,292,336,195,152,100,64,42,10,10
802,268,261,146,117,76,68,33,19,10
809,251,283,149,114,97,50,24,21,12
816,174,236,143,100,74,96,111,91,47
823,133,157,113,83,70,108,179,171,90
830,151,135,99,80,53,105,141,177,100
837,100,124,93,59,52,90,111,109,71
844,127,119,91,61,37,74,127,119,102
851,93,148,110,67,43,97,111,105,75
858,92,120,74,84,62,94,108,108,72
865,97,108,82,47,55,100,125,94,52
872,87,112,85,76,52,88,131,98,70
879,82,108,82,77,39,62,59,52,34
886,84,87,64,73,43,63,62,58,35
893,71,113,65,37,44,47,50,40,18
900,70,80,41,45,32,45,39,39,28
907,81,120,64,36,29,35,23,21,16
914,59,74,60,39,26,39,20,27,14
921,64,68,70,44,23,52,64,47,26
928,76,76,51,38,30,62,58,53,39
935,218,83,64,41,24,36,49,34,29
942,279,137,103,103,103,103,88,74,74
949,309,120,216,216,216,216,137,56,56
956,398,186,152,152,152,152,105,58,58
963,424,296,252,252,252,252,173,95,95
970,375,162,112,112,112,112,79,46,46
977,235,98,51,51,51,51,33,15,15
984,402,176,190,190,190,190,155,120,120
991,343,125,163,163,163,163,155,146,146
998,436,160,242,242,242,242,219,197,197
1005,356,161,280,280,280,280,244,207,207
1012,311,123,219,219,219,219,218,219,219
1019,258,128,229,229,229,229,227,224,224
1026,312,173,264,264,264,264,245,227,227
1033,289,154,252,252,252,252,234,215,215
1040,287,138,214,214,214,214,181,147,147
1047,228,107,170,170,170,170,144,118,118
1054,217,93,147,147,147,147,118,90,90
1061,124,83,104,104,104,104,75,46,46
1068,241,116,162,162,162,162,133,104,104
